"Name","Version","VersionCN","IconSWF","IconExportName","Character","Skin","GiveOnSkinUnlock","IsPicto","BattleCategory","Rarity","EmoteType","SoundEffect","SfxIndex","LockedForChronos","EmoteBundles","IsDefaultBattleEmote","PriceBling","PriceGems","DontSellInCatalog","DisableCatalogRelease","CatalogNewDaysAdjustment","NotInCatalogTID","ExtraCatalogCampaign","HideFromCatalogRarityCategory","UnlockedByFame","BrawlerTrophyReward","ShouldDownweight","OdditiesShopAvailability"
"string","int","int","string","string","string","string","boolean","boolean","String","String","String","String","int","boolean","String","boolean","int","int","boolean","boolean","int","string","string","boolean","String","String","boolean","string"
"emoji_8bit",,,"sc/emoji_1.sc","emoji_8bit","Arcade",,,,"DEFAULT","DEFAULT","DEFAULT","8bit_start_vo","0",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_8bit_angry",,,"sc/emoji_1.sc","emoji_8bit_angry","Arcade",,,,"ANGRY","COMMON","ANGRY","8bit_hurt_vo","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_8bit_gg",,,"sc/emoji_1.sc","emoji_8bit_gg","Arcade",,,,"SPECIAL","RARE","GG","8bit_kill_vo","1",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_8bit_sad",,,"sc/emoji_1.sc","emoji_8bit_sad","Arcade",,,,"SAD","COMMON","SAD","8bit_die_vo","3",,,,"375","9","TRUE",,,,,,,,,"AVAILABLE"
"emoji_8bit_thanks",,,"sc/emoji_1.sc","emoji_8bit_thanks","Arcade",,,,"SPECIAL","EPIC","THANKS","8bit_kill_vo","2",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_angry",,,"sc/emoji_1.sc","emoji_angry",,,,,"ANGRY","DEFAULT","ANGRY",,,,,,,,"TRUE",,,,,,,,"TRUE","NEVER"
"emoji_annoyed",,,"sc/emoji_1.sc","emoji_annoyed",,,,,"ANGRY","DEFAULT","ANGRY",,,,,,,,"TRUE",,,,,,,,"TRUE","NEVER"
"emoji_barley",,,"sc/emoji_1.sc","emoji_barley","Barkeep",,,,"DEFAULT","DEFAULT","DEFAULT","Barley_Die","1",,,,,,"TRUE",,,,,,,,,"NEVER"
"emoji_barley_angry",,,"sc/emoji_1.sc","emoji_barley_angry","Barkeep",,,,"ANGRY","COMMON","ANGRY","Barley_Hurt","0",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_barley_gg",,,"sc/emoji_1.sc","emoji_barley_gg","Barkeep",,,,"SPECIAL","RARE","GG","Barley_Start","0",,,,"750","19","TRUE",,,,,,,,,"AVAILABLE"
"emoji_barley_sad",,,"sc/emoji_1.sc","emoji_barley_sad","Barkeep",,,,"SAD","COMMON","SAD","Barley_Hurt","2",,,,"375","9","TRUE",,,,,,,,"TRUE","AVAILABLE"
"emoji_barley_thanks",,,"sc/emoji_1.sc","emoji_barley_thanks","Barkeep",,,,"SPECIAL","EPIC","THANKS","Barley_Start","3",,,,"1500","39","TRUE",,,,,,,,,"AVAILABLE"
"emoji_bea",,,"sc/emoji_1.sc","emoji_bea","BeeSniper",,,,"DEFAULT","DEFAULT","DEFAULT","Bea_Start_VO","3",,,,,,"TRUE",,,,,,,,,"NEVER"
