"TID","EN","AR","CN","CNT","DE","ES-419","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_QUEST_DESC_4","HEAL <AMOUNT> POINTS OF HEALTH","استرد <AMOUNT> من نقاط الصحة","恢复<AMOUNT>点生命值","恢復<AMOUNT>點生命值","HEILE <AMOUNT> TREFFERPUNKTE","RECUPERA <AMOUNT> PUNTOS DE SALUD","RECUPERA <AMOUNT> PUNTOS DE SALUD","PALAUTA <AMOUNT> PISTETTÄ ELINVOIMAA","Soigner <AMOUNT> PV","לרפא <AMOUNT> נקודות בריאות","PULIHKAN <AMOUNT> KESEHATAN","RIPRISTINA <AMOUNT> PUNTI SALUTE","HPを<AMOUNT>ポイント回復する","<AMOUNT> HP 회복","SEMBUHKAN <AMOUNT> NILAI NYAWA","HERSTEL <AMOUNT> LEVENSPUNTEN","ULECZ <AMOUNT> PKT. ŻYCIA","RESTAURE <AMOUNT> PONTOS DE SAÚDE","ИСЦЕЛИ <AMOUNT> ЕД. ЗДОРОВЬЯ","เยียวยาพลังชีวิต <AMOUNT> หน่วย","<AMOUNT> PUAN İYİLEŞ","HỒI <AMOUNT> ĐIỂM MÁU"
"TID_SHOTGUN_GIRL_DESC","Shelly's the perfect ranger: reliable, tough, and terrific with her shotgun. She never understood why Colt got to steal the limelight...","تمتلك شيلي مواصفات الحارسة المثالية: قوية، وبارعة في استخدام بندقيتها ويمكن الاعتماد عليها. لماذا خطف كولت منها الأضواء إذن؟","雪莉是最棒的巡逻员：可靠、顽强，擅长使用霰弹枪。她实在不明白柯尔特为什么一定要抢她的风头......","雪莉是最棒的巡邏員：堅強可靠，又擅長使用散彈槍。她實在不明白柯爾特為什麼一定要搶她的風頭......","Shelly ist die perfekte Rangerin. Sie ist zuverlässig, zäh und eine fantastische Schrotflinten-Schützin. Es ist ihr unbegreiflich, wie Colt es geschafft hat, alle Aufmerksamkeit auf sich zu ziehen ...","Shelly es la tiradora perfecta: donde pone el ojo, pone la bala. Aunque sigue sin entender por qué Colt es quien siempre se lleva todas las miradas...","Shelly es la tiradora perfecta: donde pone el ojo, pone la bala. No entiende por qué Colt es quien siempre se lleva todas las miradas...","Shelly on vartija kiireestä kantapäähän - luotettava, sitkeä ja käsittelee haulikkoaan ammattimaisesti. Hänen onkin vaikea ymmärtää, miksi Colt on yleisön suosikki...","Shelly est une ranger idéale : puissante, indépendante, et une as au tir. Pourtant, tout le monde préfère Colt. C'est vraiment trop injuste !","שלי היא הריינג'רית המושלמת: אמינה, קשוחה, ומעולה עם הרובה שלה. היא אף פעם לא הבינה למה קולט זוכה לכל אור הזרקורים.","Bisa dibilang, Shelly adalah Jagoan yang sempurna: Andal, tangguh, dan sangat terampil dengan senjata miliknya. Dia kadang heran kenapa Colt tidak setuju dengan semua fakta ini ...","Shelly è la ranger perfetta: affidabile, tosta e letale col fucile. Ma, nonostante tutte queste qualità, Colt riesce sempre a rubarle la scena...","タフで頼りがいがあり、ショットガンの腕前もピカイチなシェリー。それゆえに、コルトの方が脚光を浴びることに納得いかないらしい...","산탄총을 능숙하게 다루는 강인하고 믿음직한 총잡이입니다. 왜 콜트가 더 많은 관심을 받는지 아직까지 이해하지 못합니다.","Shelly ialah renjer yang sempurna: boleh dipercayai, tahan lasak dan mahir mengendalikan senapang patah. Dia tidak faham sebab Colt pula yang mendapat tumpuan...","Shelly is de perfecte ranger: betrouwbaar, stoer en geweldig met haar shotgun. Ze heeft nooit begrepen waarom Colt de show moest stelen...","Shelly to idealna strażniczka: jest niezawodna, twarda i potrafi siać spustoszenie strzelbą. Nigdy nie rozumiała, dlaczego Colt kradł jej światło reflektorów.","Shelly é a lutadora perfeita: confiável, durona e imbatível com a espingarda. Com tantas qualidades assim, ela nunca entendeu como o Colt virou o queridinho da galera...","Шелли — идеальный рейнджер. Она ответственная, выносливая и непревзойдённо обращается с ружьём, и ей непонятно, как Кольт перетянул всё внимание на себя...","เชลลี่คือเจ้าหน้าที่ผู้สมบูรณ์แบบ ใจถึงพึ่งได้ และมีฝีมือยิงปืนลูกซองชั้นยอด เธอจึงไม่เข้าใจว่าทำไมโคลท์ถึงโด่งดังแซงเธอไปได้...","Shelly harika bir bekçi. Güvenilir, güçlü ve av tüfeğinde çok yetenekli. Tüm gözlerin neden Colt'un üzerinde olduğuna bir türlü anlam veremiyor.","Shelly là một tay súng hoàn hảo với kỹ năng dùng súng trường thượng thừa và ý chí chiến đấu mãnh liệt. Tuy nhiên, Shelly không thể nào hiểu được tại sao Colt luôn tìm cách thu hút sự chú ý của mọi người..."
"TID_BULL_DUDE_DESC","Bull isn't as carefree as he was in his youth, but just because his rowdy days are behind him doesn't mean he won't still crush someone who's asking for it.","لم يعد بول خاليًا من الهموم كما كان في شبابه، ولكن انقضاء شبابه الجامح لا يعني أنه سيتردد في سحق أي شخص يضطره إلى ذلك.","公牛没有年轻时那么无忧无虑，也没有那么爱惹事了。但如果有人敢挑衅，他还是会毫不犹豫地把他们撞飞！","狂牛沒有年輕時那麼無憂無慮，也沒有以前那麼魯莽。但如果遇到來挑釁的人，他還是會毫不猶豫地將他們撞飛！","Bull ist nicht mehr so sorgenfrei, wie er es noch während seiner Jugendzeit war. Dass er nicht mehr so rauflustig ist wie früher, hält ihn allerdings nicht davon ab, jedem eine Tracht Prügel zu verpassen, der es verdient.","Bull ya no es el toro salvaje de su juventud, pero lejos de estar oxidado, no dudará en demostrar que todavía es duro como el metal si alguien lo pone a prueba.","Bull ya no es el toro salvaje de su juventud, pero lejos de estar oxidado, no dudará en demostrar que todavía es duro como el metal si alguien lo pone a prueba.","Bullin kultainen nuoruus on ehkä takanapäin, mutta hän on silti valmis pyyhkimään lattiaa vastustajillaan.","Bull n'est plus aussi relax que dans sa jeunesse, mais ce n'est pas parce qu'il est plus responsable qu'il ne donnera pas un bon coup de cornes si on le fait tourner en bourrique.","בול אינו נמהר כמו שהיה בנעוריו, אבל רק מפני שימיו הפרועים מאחוריו, לא אומר שלא ירסק מישהו שמעצבן אותו.","Percaya atau tidak, Bull tidak seliar saat masih remaja. Meski begitu, dia mungkin masih cukup liar untuk melibas siapa saja yang mengganggunya.","Bull non è più il tipo scapestrato di un tempo, ma, anche se i suoi giorni turbolenti sono ormai lontani, non esiterebbe un secondo a dare una ripassata a chi se lo merita.","ブルはケンカ三昧だった思春期ほど自由奔放ではないものの、売られたケンカを買う性分は相変わらずのようだ。","젊었을 때만큼 무모하지는 않지만, 그렇다고 심기를 건드리는 이들을 그냥 지나친다는 뜻은 아닙니다. 언제든지 누구와도 맞붙을 수 있죠.","Bull tidak riang seperti masa remajanya, tetapi oleh kerana dia tidak lagi lasak seperti dulu, tidak bermakna dia akan melepaskan orang yang mengacau kententeramannya.","Bull is niet zo zorgeloos als in zijn jeugd. Het feit dat zijn wilde dagen nu achter hem liggen, wil echter niet zeggen dat hij knokkers die erom vragen niet zal verpletteren.","Bull nie jest tak beztroski jak za młodu, ale choć lata młodzieńcze ma za sobą, wciąż potrafi rozłożyć na łopatki każdego, kto prosi się o guza.","Como todo millenial, Bull já não é o touro selvagem de antes, é meio careta e tem até horário para dormir. Mas cuidado! Ele ainda faz picadinho de quem pisa na bola.","Булл уже не такой бесшабашный, как в юности, но это ещё не значит, что он не наваляет любому, кто явно напрашивается.","บูลไม่ได้ใช้ชีวิตอิสระอย่างที่เคยในสมัยหนุ่มๆ แค่เพียงเพราะตอนนี้เขาทิ้งความหนุ่มคึกคะนองไว้เบื้องหลัง ก็ไม่ได้แปลว่าเขาจะไม่ลุกขึ้นมาอัดคนที่แส่หาเรื่อง","Bull, artık gençliğindeki kadar gamsız değil. Ama serserilik günlerinin geride kalmış olması kaşınanlara dersini vermeyeceği anlamına gelmiyor.","Chàng trai bốc đồng khi xưa nay đã trưởng thành và điềm đạm hơn. Nhưng đừng vì thế mà cho rằng Bull dễ bị bắt nạt nhé!"
"TID_CACTUS_ULTI_DESC","Spike lobs a thorny grenade. Enemies caught in the blast area take damage and are slowed down.","يلقي سبايك قنبلة يدوية شائكة تلحق الضرر بالأعداء في منطقة انفجارها، وتبطئ حركتهم.","斯派克抛出一枚尖刺炸弹，使爆炸范围内的敌人受到伤害并降低移动速度。","史派克拋出一個尖刺炸彈，位於技能範圍內的敵人會受到傷害並降低移動速度。","Spike wirft eine dornige Granate. Feinde in ihrem Wirkungsbereich erleiden Schaden und werden verlangsamt.","Spike lanza una granada espinada que ralentiza y daña a los enemigos que se encuentren dentro de su área de explosión.","Spike lanza una granada espinada que ralentiza y daña a los enemigos que se encuentran dentro de su área de explosión.","Spike sinkoaa piikikkään kranaatin. Räjähdysalueella olevat vastustajat vahingoittuvat ja hidastuvat.","Spike jette une grenade hérissée d'épines. Les ennemis à portée sont ralentis et subissent des dégâts.","ספייק משליך רימון קוצים. האויבים נלכדים באזור המופגז, נפגעים והתקדמותם מואטת.","Spike melemparkan granat berduri. Lawan yang terjebak di area duri akan menerima kerusakan dan melambat.","Spike scaglia una granata pungente, la cui zona d'impatto danneggia e rallenta i nemici.","トゲの海を生み出すグレネード。効果範囲に入った敵はダメージを負うだけでなく、動きも鈍くなる。","스파이크가 던진 가시 수류탄이 터지면서 폭발 범위 안의 적에게 피해를 주고 느리게 만듭니다.","Spike membaling tinggi-tinggi grenad berduri. Musuh yang terperangkap di dalam kawasan letupan akan menerima kerosakan dan diperlahankan.","Spike gooit een netelige granaat. Vijanden in het ontploffingsgebied lopen schade op en worden vertraagd.","Spike rzuca kolczastym granatem. Znajdujący się w zasięgu wybuchu wrogowie zostają spowolnieni i otrzymują obrażenia.","Spike lança uma granada de espinhos que causa dano e retarda os inimigos.","Спайк бросает шипастую гранату, которая наносит урон и замедляет врагов, попавших в зону взрыва.","สไปค์จะยิงระเบิดหนาม ศัตรูที่อยู่ในรัศมีระเบิดจะได้รับความเสียหายและมีความเร็วลดลง","Spike, dikenli bir el bombası atar. Patlama alanında kalan düşmanlar zarar görür ve yavaşlar.","Spike ném ra một quả lựu đạn gai. Kẻ địch nào nằm trong phạm vi phát nổ của quả lựu đạn này sẽ phải chịu sát thương và di chuyển chậm lại."
"TID_MECHANIC_WEAPON_DESC","Jessie fires off an energy orb. After hitting a target the orb bounces to the next target in range, hitting up to three enemies. Each bounce deals <damageDecayChain> less damage.","تطلق جيسي كرة طاقة ترتد من هدف إلى الهدف الذي يليه، وتصيب حتى ثلاثة أعداء. يلحق كل ارتداد ضررًا أقل بمقدار <damageDecayChain>.","杰西发射一个能量球，能量球命中目标后会弹向其他目标，最多可击中3个敌人。每弹射一次，能量球造成的伤害就降低<damageDecayChain>。","潔西發射一個能量球，能量球在命中目標後會彈向其他目標，最多可擊中3名敵人。每彈射一次，能量球造成的傷害就降低<damageDecayChain>。","Jessie verschießt eine Energiekugel. Nachdem diese ein Ziel trifft, springt sie auf das nächstgelegene Ziel über. So können bis zu drei Gegner getroffen werden. Jeder Sprung der Kugel verursacht <damageDecayChain> weniger Schaden.","Jessie dispara una esfera de energía, que luego de alcanzar al primer objetivo, sigue rebotando y es capaz de dañar hasta dos objetivos más. El daño que inflige se reduce en un <damageDecayChain> con cada rebote.","Jessie dispara una esfera de energía. Tras alcanzar al primer objetivo, esta masa de energía puede llegar a alcanzar a hasta dos objetivos más. El daño que inflige se reduce en un <damageDecayChain> con cada rebote.","Jessie ampuu energiakentän, joka maaliin osuttuaan ponnahtaa seuraavaan kantaman sisällä olevaan kohteeseen ja voi osua jopa kolmeen vastustajaan. Jokainen ponnahdus aiheuttaa <damageDecayChain> vähemmän tuhoa kuin edellinen.","Jessie tire une boule d'énergie. Après avoir atteint une cible, le projectile rebondit vers la suivante et en touche jusqu'à trois si elles sont à sa portée. Après chaque rebond, le projectile inflige <damageDecayChain> points de dégats de moins.","ג‘סי יורה קליעי אנרגיה. לאחר שהקליע פוגע במטרה הוא קופץ ועובר למטרה הבאה בסביבה, וכך פוגע עד לשלושה אויבים. כל קפיצה גורמת <damageDecayChain> פחות נזק.","Jessie menembakkan bola energi yang dapat memantul dari satu target ke target berikutnya hingga mengenai tiga lawan. Kerusakan yang ditimbulkan dari setiap pantulan akan berkurang sebanyak <damageDecayChain>.","Jessie spara una sfera di energia che può colpire fino a tre nemici uno dopo l'altro, se ogni impatto va a segno. Ogni avversario colpito dopo il primo subirà il <damageDecayChain> di punti danno in meno.","球状のエネルギー弾を発射する。敵に当たった後も射程にいる次の標的に向かって跳ね返り、最大3人まで攻撃できる。与えるダメージは跳ね返るごとに<damageDecayChain>ずつ減少する。","적을 맞히면 범위 내 다른 적에게 튕겨 나가 피해를 주는 에너지 볼을 발사합니다. 에너지 볼은 최대 3명에게 피해를 주며, 튕길 때마다 피해량이 <damageDecayChain>씩 감소합니다.","Jessie menembak orb bertenaga. Selepas mengenai sasaran, orb itu melantun ke sasaran seterusnya dalam lingkungan, mengenai sehingga tiga musuh. Kerosakan setiap lantunan akan berkurang sebanyak <damageDecayChain>.","Jessie vuurt een energiebal af die tot wel drie extra doelwitten kan raken door naar nabije vijanden te stuiteren. De energiebal richt na elke stuit <damageDecayChain> minder schade aan.","Jessie wystrzeliwuje kulę energii. Po dotarciu do celu pocisk odbija się od niego i leci do kolejnego celu w zasięgu. Może on trafić maksymalnie trzech wrogów. Każde kolejne odbicie zadaje obrażenia zmniejszone o <damageDecayChain>.","Jessie dispara um orbe de energia que pode acertar até três alvos consecutivos, contanto que estejam dentro do campo de alcance. Cada quicada causa <damageDecayChain> menos dano.","Джесси стреляет энергосферой, которая может поразить до трёх врагов, отскакивая от одной цели к другой. С каждым отскоком урон уменьшается на <damageDecayChain>.","เจสซี่ยิงลูกบอลพลังงานออกมา เมื่อยิงถูกศัตรู ลูกพลังงานจะชิ่งไปยังเป้าหมายถัดไปที่อยู่ในระยะได้อย่างต่อเนื่องถึงสามคน การชิ่งแต่ละครั้งจะสร้างความเสียหายลดลง <damageDecayChain> หน่วย","Jessie bir enerji küresi ateşler. Küre bir hedefe isabet edince menzil dahilindeki bir sonraki hedefe doğru seker ve üç düşmana kadar vurabilir. Her sektiğinde verdiği hasar <damageDecayChain> azalır.","Jessie bắn ra một quả cầu năng lượng. Sau khi trúng vào một mục tiêu, quả cầu sẽ nẩy sang mục tiêu tiếp theo cũng nằm trong tầm của nó. Quả cầu này có thể đánh trúng tối đa 3 kẻ địch, và sát thương bị giảm đi <damageDecayChain> sau mỗi lần nẩy."
"TID_UNDERTAKER_ULTI_DESC","Mortis calls forth a swarm of vampire bats that drain the health of enemy Brawlers while restoring his. Creepy!","يستدعي مورتيس سربًا من الخفافيش مصاصة الدماء التي تستنزف صحة الأبطال الأعداء لتمده بها. يا للهول!","莫提斯召唤出一群蝙蝠，它们伤害敌方英雄的同时也能为莫提斯恢复生命值，太恐怖了！","莫提斯召喚出一群蝙蝠，牠們在傷害敵方英雄的同時也會為莫提斯恢復生命值，太恐怖了！","Mortis ruft einen Schwarm blutsaugender Fledermäuse herbei, die Trefferpunkte gegnerischer Brawler stehlen und ihn heilen. Gruselig!","Mortis invoca a una bandada de murciélagos vampiro que absorben la salud de los brawlers enemigos y se la traspasan a él. ¡Mieeedo!","Mortis invoca a una bandada de murciélagos vampiro que absorben la salud de los brawlers enemigos y se la traspasan a él. ¡Es espeluznante!","Mortis kutsuu paikalle parven vampyyrilepakoita, jotka imevät vastustajarämäpäiltä elinvoimaa ja palauttavat hänen omansa. Karmeaa!","Mortis appelle des chauve-souris vampires qui drainent les brawlers ennemis de leurs PV et restaurent les siens. Comme c'est charmant !","מורטיס מזמן נחיל ערפדים שמנקזים את בריאותם של בראולרים אויבים תוך שהוא משקם את בריאותו שלו. מצמרר!","Mortis memanggil kawanan kelelawar vampir yang akan mengisap kesehatan Jagoan lawan untuk menyembuhkan dirinya. Seram!","Mortis chiama a sé uno stormo di pipistrelli che, succhiando la salute dei brawler nemici, curano quella del loro padrone. Disgustoso...","吸血コウモリの群れを召喚し、吸い取った敵のHPを自らのHPとして取り込む。なんとも不気味である...","흡혈박쥐 떼를 불러내서 적 브롤러의 HP를 흡수해 자신의 HP를 회복합니다. 으스스하네요!","Mortis menyeru sekerumun kelawar pontianak yang menghisap nilai nyawa brawler musuh dan pada masa yang sama memulihkan nilai nyawa dirinya. Seramnya!","Mortis roept een zwerm vampiervleermuizen op die de gezondheid van vijandelijke knokkers aftappen terwijl ze de zijne herstellen. Eng hoor!","Mortis przyzywa stado wampirycznych nietoperzy, które wysysają życie z Zadymiarzy przeciwnika i leczą swojego pana. Przerażające!","Com uma ajudinha de morcegos-vampiros, Mortis suga a saúde de Brawlers inimigos para restaurar a sua própria. Que nojo!","Мортис призывает летучих мышей-вампиров, которые высасывают здоровье у вражеских бойцов и восстанавливают его собственное. Бр-р!","มอร์ติสเรียกฝูงค้างคาวแวมไพร์ที่ดูดพลังชีวิตของ\nบรอว์เลอร์ศัตรูมาฟื้นคืนพลังชีวิตให้กับตนเอง สยอง!","Mortis, düşman savaşçıların sağlığını emen ve kendi sağlığını artıran bir vampir yarasa sürüsü çağırır. Tüyler ürpertici!","Mortis triệu hồi một bầy dơi cà rồng có khả năng hút cạn máu của các Chiến binh Brawl đối thủ và phục hồi máu cho y. Thật đáng sợ!"
"TID_BOW_DUDE_DESC","Bo has survived in the Rumble Jungle for a long time. It's all the more impressive considering he's been using toys he got on sale from the Gift Shop.","لقد صمد بو في أدغال القتال لفترة طويلة. المثير للدهشة أنه اعتمد في بقائه على الألعاب التي اشتراها في عروض التخفيضات من متجر الهدايا.","阿渤在乱斗丛林中生存了很久。想到他用的弓箭一直是礼品店打折时买的玩具，就更令人佩服了。","鷹獵人爆在亂鬥叢林中生存了很久。考慮到他一直是用禮品店打折時買的玩具弓箭，這就更令人佩服了。","Bo hat lange Zeit im Rumble Jungle überlebt. Das ist vor allem beeindruckend, wenn man bedenkt, dass er sich nur mit heruntergesetzten Spielsachen aus dem Souvenirladen beholfen hat.","Bo lleva mucho tiempo sobreviviendo en la selva gracias a los juguetes que compró en rebaja en la tienda de souvenirs. Increíble, ¿no?","Bo lleva mucho tiempo sobreviviendo en la selva. Lo más impresionante de todo es que, para ello, utiliza juguetes que compró en rebajas en la tienda de souvenirs.","Bo on selviytynyt Viidakkoryminässä huomattavan pitkään, etenkin kun otetaan huomioon, että hänen varusteensa ovat peräisin lahjakaupan alelaarista.","Bo a survécu dans la jungle pendant bien longtemps. C'est encore plus impressionnant quand on sait qu'il n'utilise que des jouets trouvés en promo à la boutique de souvenirs.","בו שרד בג'ונגל הפרוע למשך זמן רב. זה מרשים במיוחד לנוכח העובדה שהוא נעזר רק בצעצועים שקנה במבצע בחנות המתנות.","Bo telah bertahan di Arena Fauna cukup lama. Perlu diingat bahwa dia hanya berbekal senjata mainan yang dia beli dari Toko Oleh-oleh.","Bo è sopravvissuto ai pericoli della giungla per un sacco di tempo, ma la cosa impressionante è che l'ha fatto usando i giocattoli in saldo del Negozio di souvenir.","ボウはジャングルの厳しい世界を生き抜いてきた勇敢な戦士だが、驚くべきことに、彼の武器はギフトショップで買ったおもちゃ一択である。","오랜 시간 정글 럼블에서 살아남은 것도 인상적이지만, 더 놀라운 사실은 바로 보의 무기가 선물 가게에서 파는 장난감이라는 겁니다!","Bo telah lama hidup di Hutan Gemuruh. Ini memang mengagumkan memandangkan semua peralatan dia ialah mainan yang diperoleh daripada jualan di Kedai Hadiah.","Bo weet het al lang uit te houden in de junglestrijd. Het indrukwekkendste hieraan is dat hij speelgoed gebruikt dat hij in de uitverkoop bij de cadeauwinkel heeft gekocht.","Bo długo przetrwał w Zadymiarskiej dżungli - nie lada wyczyn, biorąc pod uwagę, że używa zabawek kupionych w promocji w sklepie z gadżetami.","Bo sobreviveu na selva por muito tempo, mas o mais impressionante é que ele usou brinquedos que estavam em promoção na loja de lembrancinhas como armas.","Бо уже долгое время выживает в джунглях. Впечатляет, учитывая, что у него при себе нет ничего, кроме игрушек из магазина сувениров.","โบสู้ชีวิตในป่าตะลุมบอนมาเป็นระยะเวลานาน แล้วก็ยิ่งน่าประทับใจกว่าเดิมเมื่อรู้ว่าเขาใช้ของเล่นลดราคาจากร้านของที่ระลึกเพื่อเอาชีวิตรอดในป่า","Bo, kargaşalı ormanda uzun süre hayatta kalmayı başarmış. İşin etkileyici yanı, bunu Hediye Dükkanındaki indirimlerden aldığı oyuncaklarla yapmış olması.","Bo là chiến binh trụ vững lâu nhất trong cuộc chiến Náo loạn rừng sâu. Đây là một thành tích ấn tượng, nhất là khi anh ta chỉ dùng những món đồ chơi giảm giá từ Cửa hàng quà tặng để chiến đấu."
"TID_MINIGUN_DUDE_ULTI_DESC","Pam's healing turret will fix up her and teammates who stay in its area of effect.","لدى بام برج شفاء يعالجها وزملاءها الموجودين في منطقة التأثير.","帕姆架设一个治疗台，为处于治疗台范围内的自己和队友持续恢复生命值。","帕姆架設一個治療台，位於治療台範圍內的自己和隊友可持續恢復生命值。","Pams heilender Turm verströmt eine lindernde Aura, die die Trefferpunkte von ihr selbst sowie von Verbündeten in ihrem Wirkungsbereich regeneriert.","La torreta curativa de Pam regenera su salud y la de los aliados que se encuentren dentro de su área de efecto.","La torreta curativa de Pam regenera su salud y la de los aliados que se encuentren dentro de su área de efecto.","Pamin parantava tykkitorni hoitaa kuntoon hänet itsensä sekä vaikutusalueella olevat joukkuekaverit.","La tourelle de Pam lui rend des PV, tout en soignant les gros bobos de ses coéquipiers tant qu'ils sont à portée.","צריח המרפא של פאם עוזר לה וגם לחברי הקבוצה שנשארים בטווח ההשפעה שלו.","Turet penyembuh Pam akan mengobati dirinya serta rekan timnya yang berada dalam jangkauan efek.","La torretta guaritrice genera una zona curativa in cui Pam e i suoi alleati possono ripristinare la salute.","癒しのタレットが、自身と効果範囲内にいる仲間のHPを回復します。","치유 터렛으로 자기 자신과 범위 내 팀원의 HP를 회복합니다.","Turet penyembuhan Pam akan merawat dia dan rakan sepasukannya yang berada di dalam kawasan terkesan.","Pams genezend geschut lapt haar en de teamgenoten in haar gebied op.","Działko leczące podreperuje kondycję Pam i pozostałych Zadymiarzy z drużyny, którzy znajdą się w jego zasięgu.","A torreta de cura da Pam deixa a mamãe e o resto da equipe novinhos em folha, contanto que estejam dentro da sua área de alcance.","Лечебная турель Пэм исцеляет её саму и всех товарищей, находящихся в зоне действия турели.","ป้อมพยาบาลของแพมจะฟื้นฟูพลังชีวิตให้เธอและพันธมิตรที่อยู่ในบริเวณ","Pam'in iyileştiren tareti, kendisini ve etki alanındaki diğer takım arkadaşlarını iyileştirir.","Trụ cứu thương của Pam sẽ chữa trị cho chính cô ta và cho cả những đồng đội nào ở trong khu vực có hiệu lực của nó."
"TID_SPECIAL_EVENT_STATUS_ACTIVE","active for","نشط لمدة","持续时间","持續時間","aktiv für","Activo durante","Activo durante","aktiivisena","actif pendant","פעיל למשך","aktif selama","attivo per:","開催期間","진행 시간:","Aktif selama","actief gedurende","aktywne przez","ativo por","активно","ใช้งานได้เป็นเวลา","Bitmesine:","kích hoạt trong"
